,Player,All_NBA,All.Star,Draft_Yr,Pk,Team,College,Yrs,Games,Minutes.Played,PTS,TRB,AST,FG_Percentage,TP_Percentage,FT_Percentage,Minutes.per.Game,Points.per.Game,TRB.per.game,Assits.per.Game,Win.Share,WS_per_game,BPM,VORP,Executive,Tenure,Exec_ID,Exec_draft_exp,attend_college,first_year,second_year,third_year,fourth_year,fifth_year
42,Kevin Heenan,0,0,1979,192,GSW,"California State University, Fullerton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,4,1,0,0,0,0,0
43,Joe Barry Carroll,0,0,1980,1,GSW,Purdue University,10,705,22838,12455,5404,1264,0.474,0,0.747,32.4,17.7,7.7,1.8,35.6,0.075,-0.7,7.5,Al Attles,3641 days 00:00:00.000000000,1,5,1,0,0,0,0,0
44,Rickey Brown,0,0,1980,13,GSW,Mississippi State University,5,340,4487,1482,1200,119,0.464,0,0.667,13.2,4.4,3.5,0.4,4.7,0.051,-4.4,-2.7,Al Attles,3641 days 00:00:00.000000000,1,5,1,0,0,0,0,0
45,Larry Smith,0,0,1980,24,GSW,Alcorn State University,13,883,22879,5904,8125,941,0.531,0,0.531,25.9,6.7,9.2,1.1,46,0.096,0.6,15,Al Attles,3641 days 00:00:00.000000000,1,5,1,0,0,0,0,0
46,Jeff Ruland,0,0,1980,25,GSW,Iona College,8,332,11088,5763,3378,1002,0.564,0.158,0.718,33.4,17.4,10.2,3,34.3,0.149,3.5,15.4,Al Attles,3641 days 00:00:00.000000000,1,5,1,0,0,0,0,0
47,John Virgil,0,0,1980,49,GSW,University of North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,5,1,0,0,0,0,0
48,Robert Scott,0,0,1980,71,GSW,University of Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,5,1,0,0,0,0,0
49,Don Carlino,0,0,1980,95,GSW,University of Southern California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,5,1,0,0,0,0,0
50,Neil Bresnahan,0,0,1980,117,GSW,University of Illinois at Urbana-Champaign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,5,1,0,0,0,0,0
51,Lorenzo Romar,0,0,1980,141,GSW,University of Washington,5,291,5188,1731,385,1022,0.464,0.211,0.749,17.8,5.9,1.3,3.5,8,0.074,-2.8,-1,Al Attles,3641 days 00:00:00.000000000,1,5,1,0,0,0,0,0
52,Kurt Kanaskie,0,0,1980,162,GSW,La Salle University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,5,1,0,0,0,0,0
53,Tim Higgins,0,0,1980,200,GSW,University of Nebraska at Kearney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,5,1,0,0,0,0,0
54,Sam Williams,0,0,1981,33,GSW,Arizona State University,4,257,4528,1628,1146,156,0.5,0,0.653,17.6,6.3,4.5,0.6,9,0.095,-0.1,2.1,Al Attles,3641 days 00:00:00.000000000,1,6,1,0,0,0,0,0
55,Carlton Neverson,0,0,1981,56,GSW,University of Pittsburgh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,6,1,0,0,0,0,0
56,Lewis Lloyd,0,0,1981,76,GSW,Drake University,7,388,9406,5130,1192,1138,0.524,0.213,0.771,24.2,13.2,3.1,2.9,19.8,0.101,0.3,5.5,Al Attles,3641 days 00:00:00.000000000,1,6,1,0,0,0,0,0
57,Terry Adolph,0,0,1981,80,GSW,West Texas A&M University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,6,1,0,0,0,0,0
58,Hank McDowell,0,0,1981,102,GSW,University of Memphis,6,206,1857,600,464,98,0.451,0,0.71,9,2.9,2.3,0.5,2,0.052,-3.5,-0.7,Al Attles,3641 days 00:00:00.000000000,1,6,1,0,0,0,0,0
59,Carter Scott,0,0,1981,126,GSW,Ohio State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,6,1,0,0,0,0,0
60,Robby Dosty,0,0,1981,148,GSW,University of Arizona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,6,1,0,0,0,0,0
61,Yasutaka Okayama,0,0,1981,171,GSW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,6,0,0,0,0,0,0
62,Doug Murrey,0,0,1981,192,GSW,San Jose State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,6,1,0,0,0,0,0
63,Barry Brooks,0,0,1981,213,GSW,University of Southern California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,6,1,0,0,0,0,0
64,Lester Conner,0,0,1982,14,GSW,Oregon State University,12,687,14970,4337,1861,2669,0.453,0.202,0.753,21.8,6.3,2.7,3.9,28.6,0.092,0.8,10.5,Al Attles,3641 days 00:00:00.000000000,1,7,1,0,0,0,0,0
65,Derek Smith,0,0,1982,35,GSW,University of Louisville,9,408,9825,5232,1300,866,0.499,0.294,0.753,24.1,12.8,3.2,2.1,18.3,0.089,-0.7,3.2,Al Attles,3641 days 00:00:00.000000000,1,7,1,0,0,0,0,0
66,Wayne Sappleton,0,0,1982,38,GSW,Loyola University of Chicago,1,33,298,96,75,7,0.471,0,0.412,9,2.9,2.3,0.2,0.1,0.012,-6.8,-0.4,Al Attles,3641 days 00:00:00.000000000,1,7,1,0,0,0,0,0
67,Chris Engler,0,0,1982,60,GSW,University of Wyoming,5,195,1405,343,386,45,0.411,0,0.677,7.2,1.8,2,0.2,0.6,0.02,-5.8,-1.4,Al Attles,3641 days 00:00:00.000000000,1,7,1,0,0,0,0,0
68,Ken Stancell,0,0,1982,83,GSW,Virginia Commonwealth University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,7,1,0,0,0,0,0
69,Albert Irving,0,0,1982,106,GSW,Alcorn State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,7,1,0,0,0,0,0
70,David Vann,0,0,1982,129,GSW,Saint Mary's College of California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,7,1,0,0,0,0,0
71,Matt Waldron,0,0,1982,152,GSW,University of the Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,7,1,0,0,0,0,0
72,Mark King,0,0,1982,175,GSW,Florida Southern College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,7,1,0,0,0,0,0
73,Nick Morken,0,0,1982,198,GSW,University of Tennessee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,7,1,0,0,0,0,0
74,Randy Whieldon,0,0,1982,219,GSW,"University of California, Irvine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,7,1,0,0,0,0,0
75,Russell Cross,0,0,1983,6,GSW,Purdue University,1,45,354,166,82,22,0.571,0,0.418,7.9,3.7,1.8,0.5,0.8,0.106,-1.8,0,Al Attles,3641 days 00:00:00.000000000,1,8,1,0,0,0,0,0
76,Pace Mannion,0,0,1983,43,GSW,University of Utah,6,216,2125,660,259,231,0.413,0.203,0.663,9.8,3.1,1.2,1.1,1.7,0.038,-2.9,-0.5,Al Attles,3641 days 00:00:00.000000000,1,8,1,0,0,0,0,0
77,Mike Holton,0,0,1983,53,GSW,"University of California, Los Angeles",6,325,5836,2016,459,977,0.441,0.257,0.807,18,6.2,1.4,3,4.8,0.039,-3.9,-2.8,Al Attles,3641 days 00:00:00.000000000,1,8,1,0,0,0,0,0
78,Peter Thibeaux,0,0,1983,77,GSW,Saint Mary's College of California,2,93,992,462,144,45,0.453,0.286,0.626,10.7,5,1.5,0.5,0.1,0.005,-5.4,-0.9,Al Attles,3641 days 00:00:00.000000000,1,8,1,0,0,0,0,0
79,Greg Hines,0,0,1983,99,GSW,Hampton University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,8,1,0,0,0,0,0
80,Tom Heywood,0,0,1983,123,GSW,Weber State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,8,1,0,0,0,0,0
81,Peter Williams,0,0,1983,145,GSW,University of Utah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,8,1,0,0,0,0,0
82,Doug Harris,0,0,1983,169,GSW,Central Washington University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,8,1,0,0,0,0,0
83,Greg Goorjiam,0,0,1983,190,GSW,Loyola Marymount University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,8,1,0,0,0,0,0
84,Michael Zeno,0,0,1983,212,GSW,"California State University, Long Beach",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,8,1,0,0,0,0,0
85,Steve Burtt,0,0,1984,30,GSW,Iona College,4,101,1121,584,92,123,0.426,0.143,0.695,11.1,5.8,0.9,1.2,0,0,-6,-1.1,Al Attles,3641 days 00:00:00.000000000,1,9,1,0,0,0,0,0
86,Jay Murphy,0,0,1984,31,GSW,Boston College,4,67,436,160,111,13,0.332,0,0.607,6.5,2.4,1.7,0.2,-0.5,-0.052,-10.2,-0.9,Al Attles,3641 days 00:00:00.000000000,1,9,1,0,0,0,0,0
87,Othell Wilson,0,0,1984,35,GSW,University of Virginia,2,127,2049,535,212,424,0.454,0.176,0.746,16.1,4.2,1.7,3.3,1.4,0.032,-3,-0.5,Al Attles,3641 days 00:00:00.000000000,1,9,1,0,0,0,0,0
88,Gary Plummer,0,0,1984,45,GSW,Boston University,2,126,1439,531,307,66,0.43,0.143,0.717,11.4,4.2,2.4,0.5,0.2,0.006,-6.1,-1.5,Al Attles,3641 days 00:00:00.000000000,1,9,1,0,0,0,0,0
89,Lewis Jackson,0,0,1984,55,GSW,Alabama State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,9,1,0,0,0,0,0
90,Steve Bartek,0,0,1984,101,GSW,Doane College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,9,1,0,0,0,0,0
91,Scott McCollum,0,0,1984,110,GSW,Pepperdine University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,9,1,0,0,0,0,0
92,Tony Martin,0,0,1984,123,GSW,University of Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,9,1,0,0,0,0,0
93,Cliff Higgins,0,0,1984,147,GSW,"California State University, Northridge",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,9,1,0,0,0,0,0
94,Paul Brozovich,0,0,1984,169,GSW,"University of Nevada, Las Vegas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,9,1,0,0,0,0,0
95,Mitch Arnold,0,0,1984,192,GSW,"California State University, Fresno",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,9,1,0,0,0,0,0
96,Tim Bell,0,0,1984,213,GSW,"University of California, Riverside",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,9,1,0,0,0,0,0
97,Chris Mullin,4,5,1985,7,GSW,St. John's University,16,986,32163,17911,4034,3450,0.509,0.384,0.865,32.6,18.2,4.1,3.5,93.1,0.139,2.8,38.7,Al Attles,3641 days 00:00:00.000000000,1,10,1,0,0,0,0,0
98,Brad Wright,0,0,1985,49,GSW,"University of California, Los Angeles",2,16,145,54,54,1,0.412,0,0.429,9.1,3.4,3.4,0.1,-0.1,-0.045,-10.3,-0.3,Al Attles,3641 days 00:00:00.000000000,1,10,1,0,0,0,0,0
99,Luster Goodwin,0,0,1985,71,GSW,University of Texas at El Paso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,10,1,0,0,0,0,0
100,Greg Cavener,0,0,1985,95,GSW,University of Missouri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,10,1,0,0,0,0,0
101,Gerald Crosby,0,0,1985,117,GSW,University of Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,10,1,0,0,0,0,0
102,Eric Boyd,0,0,1985,141,GSW,North Carolina Agricultural and Technical State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,10,1,0,0,0,0,0
103,Mike Williams,0,0,1986,51,GSW,Bradley University,1,21,102,15,23,2,0.333,0,0.5,4.9,0.7,1.1,0.1,0,0.012,-5.9,-0.1,Al Attles,3641 days 00:00:00.000000000,1,11,1,0,0,0,0,0
104,Bobby Lee Hurt,0,0,1986,121,GSW,University of Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,11,1,0,0,0,0,0
105,Chris Washburn,0,0,1986,3,GSW,North Carolina State University,2,72,645,222,176,22,0.412,0,0.439,9,3.1,2.4,0.3,-0.6,-0.046,-7.9,-1,Al Attles,3641 days 00:00:00.000000000,1,11,1,0,0,0,0,0
106,Wendell Alexis,0,0,1986,59,GSW,Syracuse University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,11,1,0,0,0,0,0
107,Dan Bingenheimer,0,0,1986,75,GSW,University of Missouri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,11,1,0,0,0,0,0
108,Clinton Smith,0,0,1986,97,GSW,Cleveland State University,2,46,386,134,60,49,0.43,0,0.714,8.4,2.9,1.3,1.1,0.3,0.035,-3,-0.1,Al Attles,3641 days 00:00:00.000000000,1,11,1,0,0,0,0,0
109,Steve Kenilvort,0,0,1986,143,GSW,Santa Clara University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,11,1,0,0,0,0,0
110,Adonal Foyle,0,0,1997,8,GSW,Colgate University,12,733,13060,2989,3461,344,0.477,0,0.499,17.8,4.1,4.7,0.5,18.7,0.069,-0.8,3.9,Al Attles,37 days 00:00:00.000000000,1,12,1,0,0,0,0,0
111,Marc Jackson,0,0,1997,37,GSW,Temple University,7,387,7572,3238,1655,311,0.446,0.226,0.814,19.6,8.4,4.3,0.8,13,0.082,-3.6,-3.1,Al Attles,37 days 00:00:00.000000000,1,12,1,0,0,0,0,0
112,Rod Strickland,0,0,1988,19,NYK,DePaul University,17,1094,33634,14463,4084,7987,0.454,0.282,0.721,30.7,13.2,3.7,7.3,85.8,0.122,1.6,30.9,Al Bianchi,1332 days 00:00:00.000000000,2,1,1,0,0,0,0,0
113,Greg Butler,0,0,1988,37,NYK,Stanford University,3,55,210,76,53,4,0.354,0,0.714,3.8,1.4,1,0.1,-0.3,-0.078,-12.5,-0.6,Al Bianchi,1332 days 00:00:00.000000000,2,1,1,0,0,0,0,0
114,Phil Stinnie,0,0,1988,69,NYK,Virginia Commonwealth University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Bianchi,1332 days 00:00:00.000000000,2,1,1,0,0,0,0,0
115,Brian Quinnett,0,0,1989,50,NYK,Washington State University,3,138,1530,474,224,76,0.414,0.326,0.677,11.1,3.4,1.6,0.6,0.9,0.027,-3.7,-0.7,Al Bianchi,1332 days 00:00:00.000000000,2,2,1,0,0,0,0,0
116,Jerrod Mustaf,0,0,1990,17,NYK,University of Maryland,4,179,1902,721,452,99,0.449,0,0.648,10.6,4,2.5,0.6,1.7,0.043,-4.4,-1.2,Al Bianchi,1332 days 00:00:00.000000000,2,3,1,0,0,0,0,0
117,Kendall Gill,0,0,1990,5,NOH,University of Illinois at Urbana-Champaign,15,966,29481,12914,4002,2945,0.434,0.3,0.754,30.5,13.4,4.1,3,47.8,0.078,0.3,16.9,Allan Bristow,456 days 00:00:00.000000000,3,1,1,0,0,0,0,0
118,Steve Scheffler,0,0,1990,39,NOH,Purdue University,7,174,918,331,180,26,0.558,0.2,0.759,5.3,1.9,1,0.1,2.9,0.153,-2.1,0,Allan Bristow,456 days 00:00:00.000000000,3,1,1,0,0,0,0,0
119,Larry Johnson,1,2,1991,1,NOH,"University of Nevada, Las Vegas",10,707,25685,11450,5300,2298,0.484,0.332,0.766,36.3,16.2,7.5,3.3,69.7,0.13,2.4,28.3,Allan Bristow,456 days 00:00:00.000000000,3,2,1,0,0,0,0,0
120,Kevin Lynch,0,0,1991,28,NOH,University of Minnesota,2,95,1143,310,120,108,0.436,0.333,0.726,12,3.3,1.3,1.1,0.4,0.016,-4,-0.6,Allan Bristow,456 days 00:00:00.000000000,3,2,1,0,0,0,0,0
121,Tony Battie,0,0,1997,5,DEN,Texas Tech University,14,837,17649,5082,4287,522,0.488,0.162,0.69,21.1,6.1,5.1,0.6,36.4,0.099,-1.6,1.9,Allan Bristow,357 days 00:00:00.000000000,3,3,1,0,0,0,0,0
